Publication,Identity,Type,Byline,Probable (cons),Probable (bal),Resembles / notes,Certainty,Mean sentiment,Years
Relief Society Magazine,Pioneer Reucs,Full name,1,0,0,NA,NA,0.084,1963–1963
Relief Society Magazine,Pitt Genevieve R. Curtis,Full name,1,0,0,NA,NA,0.079,1932–1932
Relief Society Magazine,Place Gertrude R. Garff,Full name,1,0,0,NA,NA,0.193,1947–1947
Relief Society Magazine,Place Winnifred M. Tibbs,Full name,1,0,0,NA,NA,0.062,1945–1945
Relief Society Magazine,Place' Sylvia R. Grant,Full name,1,0,0,NA,NA,0,1935–1935
Relief Society Magazine,Plan Eva W. Darger,Full name,1,0,0,NA,NA,0.035,1939–1939
Relief Society Magazine,Plan Ezra C. Knowlton,Full name,1,0,0,NA,NA,0.053,1939–1939
Relief Society Magazine,Plan Roscoe W. Eardley,Full name,1,0,0,NA,NA,0.038,1939–1939
Relief Society Magazine,Plants Maude N. Howard,Full name,1,0,0,NA,NA,0.04,1960–1960
Relief Society Magazine,Play) Rosannah C. Irvine,Full name,1,0,0,NA,NA,0.08,1939–1939
Relief Society Magazine,Poelman Feltch,Full name,1,0,0,NA,NA,0,1968–1968
Relief Society Magazine,Position Rosannah C. Irvine,Full name,1,0,0,NA,NA,0.11,1933–1933
Relief Society Magazine,Power Briant S. Jacob,Full name,1,0,0,NA,NA,0.046,1956–1956
Relief Society Magazine,Prayer Nettie E. Mcmurtrey,Full name,1,0,0,NA,NA,0.052,1925–1925
Relief Society Magazine,Prayer Ray R. Mckay,Full name,1,0,0,NA,NA,0.097,1942–1942
Relief Society Magazine,Prayers Marguerite S. Griffin,Full name,1,0,0,NA,NA,0.008,1945–1945
Relief Society Magazine,"Prayest"" Edith S. Eluott",Full name,1,0,0,NA,NA,0.03,1955–1955
Relief Society Magazine,Prefer Color,Full name,1,0,0,NA,NA,0.087,1970–1970
Relief Society Magazine,Presidents Sarah M. Mclelland,Full name,1,0,0,NA,NA,0.073,1934–1934
Relief Society Magazine,Prince Wright,Full name,1,0,0,NA,NA,0.097,1968–1968
Relief Society Magazine,Priorities Dott J. Sartori,Full name,1,0,0,NA,NA,0.009,1943–1943
Relief Society Magazine,"Prize, E.",Full name,1,0,0,NA,NA,0.023,1926–1926
Relief Society Magazine,Progression Leah D. Widtsoe,Full name,1,0,0,NA,NA,0.129,1942–1942
Relief Society Magazine,Project Donna D. Sorensen,Full name,1,0,0,NA,NA,0.031,1937–1937
Relief Society Magazine,Promises Aileen M. Overfelt,Full name,1,0,0,NA,NA,-0.02,1946–1946
Relief Society Magazine,Proper Nutrition,Full name,1,0,0,NA,NA,0.065,1970–1970
Relief Society Magazine,Quality Quilts,Full name,1,0,0,NA,NA,0.131,1965–1965
Relief Society Magazine,Quida Johns Pedersen,Full name,1,0,0,NA,NA,0.034,1953–1953
Relief Society Magazine,Quilted Bedspreads,Full name,1,0,0,NA,NA,0.184,1964–1964
Relief Society Magazine,Quilting Needle,Full name,1,0,0,NA,NA,0.108,1966–1966
Relief Society Magazine,Quilts Arthur M. Richardson,Full name,1,0,0,NA,NA,0.086,1934–1934
Relief Society Magazine,Quin Cole,Full name,1,0,0,NA,NA,0.087,1967–1967
Relief Society Magazine,R. A. Madsen,Full name,1,0,0,NA,NA,-0.034,1920–1920
Relief Society Magazine,R. Anderson,Full name,1,0,0,NA,NA,0.08,1963–1963
Relief Society Magazine,R. Arrington,Full name,1,0,0,NA,NA,0.073,1970–1970
Relief Society Magazine,R. Boyer,Full name,1,0,0,NA,NA,0.063,1970–1970
Relief Society Magazine,R. Clark,Full name,1,0,0,NA,NA,0.031,1964–1964
Relief Society Magazine,R. Covey,Full name,1,0,0,NA,NA,0.074,1966–1966
Relief Society Magazine,R. Cox,Full name,1,0,0,NA,NA,0.077,1969–1969
Relief Society Magazine,R. Eccles,Full name,1,0,0,NA,NA,0.104,1966–1966
Relief Society Magazine,R. Garff,Full name,1,0,0,NA,NA,0.047,1940–1940
Relief Society Magazine,R. Hunter,Full name,1,0,0,NA,NA,0.059,1969–1969
Relief Society Magazine,R. Macarthur,Full name,1,0,0,NA,NA,0.028,1965–1965
Relief Society Magazine,R. Parsons,Full name,1,0,0,NA,NA,0.051,1964–1964
Relief Society Magazine,R. Pettit,Full name,1,0,0,NA,NA,0.07,1970–1970
Relief Society Magazine,R. West,Full name,1,0,0,NA,NA,0.093,1968–1968
Relief Society Magazine,Rae Woolley Whited,Full name,1,0,0,NA,NA,0.035,1965–1965
Relief Society Magazine,Rain J. B. Jennings,Full name,1,0,0,NA,NA,0.012,1940–1940
Relief Society Magazine,Ralph B. Keeler,Full name,1,0,0,NA,NA,0.108,1936–1936
Relief Society Magazine,Ralph Edwards,Full name,1,0,0,NA,NA,-0.021,1963–1963
Relief Society Magazine,Ramonn W. Canon,Full name,1,0,0,NA,NA,0.079,1957–1957
Relief Society Magazine,Read Clark,Full name,1,0,0,NA,NA,0.032,1970–1970
Relief Society Magazine,Recipe Vera C. Stratford,Full name,1,0,0,NA,NA,0.027,1959–1959
Relief Society Magazine,Recollections D. D. S.,Full name,1,0,0,NA,NA,0.071,1940–1940
Relief Society Magazine,Recreation Mark K. Allen,Full name,1,0,0,NA,NA,0.064,1942–1942
Relief Society Magazine,Redd Ellen R. Bryner,Full name,1,0,0,NA,NA,0.037,1932–1932
Relief Society Magazine,Refinement Lessons,Full name,1,0,0,NA,NA,0.073,1970–1970
Relief Society Magazine,Regret Silas L. Cheney,Full name,1,0,0,NA,NA,0.111,1927–1927
Relief Society Magazine,Reiser Alder,Full name,1,0,0,NA,NA,0.06,1964–1964
Relief Society Magazine,Religion A. C. Lambert,Full name,1,0,0,NA,NA,0.048,1929–1929
Relief Society Magazine,Remember Autumn,Full name,1,0,0,NA,NA,0.044,1965–1965
Relief Society Magazine,Rena B. Maycock,Full name,1,0,0,NA,NA,0.053,1925–1925
Relief Society Magazine,Renewal Naomi M. Manwaring,Full name,1,0,0,NA,NA,0.063,1957–1957
Relief Society Magazine,Return Andrew M. Andersen,Full name,1,0,0,NA,NA,0.15,1947–1947
Relief Society Magazine,Return Beatrice E. Linford,Full name,1,0,0,NA,NA,0.143,1943–1943
Relief Society Magazine,Revelation Joseph Fielding Smith,Full name,1,0,0,NA,NA,0.065,1965–1965
Relief Society Magazine,Rexine Eagar,Full name,1,0,0,NA,NA,0.026,1968–1968
Relief Society Magazine,Rhjrme Bazaar,Full name,1,0,0,NA,NA,-0.009,1966–1966
Relief Society Magazine,Rhoda C. Taylor,Full name,1,0,0,NA,NA,0.051,1958–1958
Relief Society Magazine,Rhoda Eldredge Merrill,Full name,1,0,0,NA,NA,0.017,1918–1918
Relief Society Magazine,Rialto Stake,Full name,1,0,0,NA,NA,0.068,1968–1968
Relief Society Magazine,Ribbon Tree,Full name,1,0,0,NA,NA,0.064,1965–1965
Relief Society Magazine,Rich Brockbank,Full name,1,0,0,NA,NA,0.104,1967–1967
Relief Society Magazine,Richard F. Armknecht,Full name,1,0,0,NA,NA,0.038,1951–1951
Relief Society Magazine,Richard P. Harris,Full name,1,0,0,NA,NA,0.017,1924–1924
Relief Society Magazine,Right Vera L. Plant,Full name,1,0,0,NA,NA,0.043,1932–1932
Relief Society Magazine,Rivers Lella M. Hoggan,Full name,1,0,0,NA,NA,0.038,1943–1943
Relief Society Magazine,Rixta Werbe,Full name,1,0,0,NA,NA,0.037,1965–1965
Relief Society Magazine,Robert Ruff,Full name,1,0,0,NA,NA,0.083,1967–1967
Relief Society Magazine,Robinson Rae B. Barker,Full name,1,0,0,NA,NA,0.165,1948–1948
Relief Society Magazine,Rodello Hunter,Full name,1,0,0,NA,NA,-0.013,1959–1959
Relief Society Magazine,Romney Ivins,Full name,1,0,0,NA,NA,0.146,1965–1965
Relief Society Magazine,Rose Brown Hayes,Full name,1,0,0,NA,NA,0.083,1933–1933
Relief Society Magazine,Roselyn Kirk,Full name,1,0,0,NA,NA,0.044,1965–1965
Relief Society Magazine,Rosemary Addis,Full name,1,0,0,NA,NA,0.055,1970–1970
Relief Society Magazine,Rosennond Purviance,Full name,1,0,0,NA,NA,0,1969–1969
Relief Society Magazine,Rosetta W. Bennett,Full name,1,0,0,NA,NA,0.1,1931–1931
Relief Society Magazine,Rosetta Wallace Bennett,Full name,1,0,0,NA,NA,0.161,1951–1951
Relief Society Magazine,Roxana Farnsworth Hase,Full name,1,0,0,NA,NA,0.052,1955–1955
Relief Society Magazine,Roxey Robson Heslop,Full name,1,0,0,NA,NA,0.091,1949–1949
Relief Society Magazine,Rozina Farnsworth,Full name,1,0,0,NA,NA,0.07,1963–1963
Relief Society Magazine,Russell B. Swenson,Full name,1,0,0,NA,NA,0.023,1934–1934
Relief Society Magazine,Ruth M. Mckay,Full name,1,0,0,NA,NA,0.05,1951–1951
Relief Society Magazine,Ruth Osman,Full name,1,0,0,NA,NA,0.162,1970–1970
Relief Society Magazine,Ruth P. Tippetts,Full name,1,0,0,NA,NA,0.051,1951–1951
Relief Society Magazine,Ruth Peterson,Full name,1,0,0,NA,NA,0.053,1965–1965
Relief Society Magazine,Ruth Smith,Full name,1,0,0,NA,NA,0.058,1968–1968
Relief Society Magazine,Ruth Young,Full name,1,0,0,NA,NA,0.076,1953–1953
Relief Society Magazine,S. Beatie,Full name,1,0,0,NA,NA,0.139,1967–1967
Relief Society Magazine,S. Burnham,Full name,1,0,0,NA,NA,-0.093,1968–1968
Relief Society Magazine,S. Dilworth Young,Full name,1,0,0,NA,NA,0.104,1949–1949
Relief Society Magazine,S. Elliott,Full name,1,0,0,NA,NA,0.12,1964–1964
Relief Society Magazine,S. Farnsworth,Full name,1,0,0,NA,NA,0.027,1964–1964
Relief Society Magazine,S. Groberg,Full name,1,0,0,NA,NA,0.096,1968–1968
Relief Society Magazine,S. Gudmundson,Full name,1,0,0,NA,NA,0.041,1968–1968
Relief Society Magazine,S. Hansen,Full name,1,0,0,NA,NA,0.068,1964–1964
Relief Society Magazine,S. Harrington,Full name,1,0,0,NA,NA,0.045,1968–1968
Relief Society Magazine,S. Jacobsen,Full name,1,0,0,NA,NA,0.031,1964–1964
Relief Society Magazine,S. Kemp,Full name,1,0,0,NA,NA,0.056,1963–1963
Relief Society Magazine,S. Mckay,Full name,1,0,0,NA,NA,0.034,1970–1970
Relief Society Magazine,S. Mower,Full name,1,0,0,NA,NA,0.022,1969–1969
Relief Society Magazine,"S. Olson, M. D.",Full name,1,0,0,NA,NA,0.04,1918–1918
Relief Society Magazine,S. Peterson,Full name,1,0,0,NA,NA,0.038,1970–1970
Relief Society Magazine,S. Poelman,Full name,1,0,0,NA,NA,0.052,1964–1964
Relief Society Magazine,S. T. Brimhall-foley,Full name,1,0,0,NA,NA,-0.006,1923–1923
Relief Society Magazine,S. Walton,Full name,1,0,0,NA,NA,0.02,1963–1963
Relief Society Magazine,Sadie Adamson,Full name,1,0,0,NA,NA,0.094,1934–1934
Relief Society Magazine,Sadie W. Adamson,Full name,1,0,0,NA,NA,0.097,1950–1950
Relief Society Magazine,Safety Claire P. Dorius,Full name,1,0,0,NA,NA,-0.06,1944–1944
Relief Society Magazine,Samuel G. Clawson,Full name,1,0,0,NA,NA,0.086,1936–1936
Relief Society Magazine,Sandra Munsell,Full name,1,0,0,NA,NA,0.04,1955–1955
Relief Society Magazine,Santa Claus Carol Daynes,Full name,1,0,0,NA,NA,0.04,1961–1961
Relief Society Magazine,Santa Virginia B. Jacobsen,Full name,1,0,0,NA,NA,0.071,1936–1936
Relief Society Magazine,Sarah Heron,Full name,1,0,0,NA,NA,0.198,1966–1966
Relief Society Magazine,School Clara S. Fagergren,Full name,1,0,0,NA,NA,0.021,1918–1918
Relief Society Magazine,Schools David H. Fowler,Full name,1,0,0,NA,NA,0.088,1929–1929
Relief Society Magazine,Scouting Weston N. Nordgren,Full name,1,0,0,NA,NA,0.06,1933–1933
Relief Society Magazine,"Scriptures"" Hazel W. Wheeler",Full name,1,0,0,NA,NA,0.043,1936–1936
Relief Society Magazine,Second Counselor,Full name,1,0,0,NA,NA,0.028,1970–1970
Relief Society Magazine,Seed Dott J. Sartori,Full name,1,0,0,NA,NA,0.025,1943–1943
Relief Society Magazine,Senator Morris Sheppard,Full name,1,0,0,NA,NA,0.088,1933–1933
Relief Society Magazine,Serve Mary H. Mitton,Full name,1,0,0,NA,NA,0.242,1932–1932
Relief Society Magazine,Service Gertrude R. Garff,Full name,1,0,0,NA,NA,0.109,1946–1946
Relief Society Magazine,Service Leda T. Jensen,Full name,1,0,0,NA,NA,0.019,1943–1943
Relief Society Magazine,Service O. C. Duckett,Full name,1,0,0,NA,NA,0,1958–1958
Relief Society Magazine,Service Walter J. Kohler,Full name,1,0,0,NA,NA,0.019,1957–1957
Relief Society Magazine,Services Gertrude R. Garff,Full name,1,0,0,NA,NA,0.013,1947–1947
Relief Society Magazine,Sessions Boyer,Full name,1,0,0,NA,NA,0.108,1966–1966
Relief Society Magazine,Shell Busk,Full name,1,0,0,NA,NA,0.131,1970–1970
Relief Society Magazine,Shirley Chase,Full name,1,0,0,NA,NA,0.054,1969–1969
Relief Society Magazine,Shirley Mcqueen,Full name,1,0,0,NA,NA,0.092,1969–1969
Relief Society Magazine,Shirley Sargent,Full name,1,0,0,NA,NA,0.035,1962–1962
Relief Society Magazine,Shirley Sealy,Full name,1,0,0,NA,NA,0.041,1959–1959
Relief Society Magazine,"Shuttle"" Helen W. Anderson",Full name,1,0,0,NA,NA,0.11,1958–1958
Relief Society Magazine,Sidney B. Sperry,Full name,1,0,0,NA,NA,0.06,1939–1939
Relief Society Magazine,Sidwell R. C. Cox,Full name,1,0,0,NA,NA,0.038,1925–1925
Relief Society Magazine,Silhouette Agnes K. Morgan,Full name,1,0,0,NA,NA,0.065,1944–1944
Relief Society Magazine,Simply Beautiful,Full name,1,0,0,NA,NA,0.108,1965–1965
Relief Society Magazine,Sing Leona F. Smith,Full name,1,0,0,NA,NA,0.038,1959–1959
Relief Society Magazine,Singer H. R. Merrill,Full name,1,0,0,NA,NA,0.079,1924–1924
Relief Society Magazine,Sings Together,Full name,1,0,0,NA,NA,0.093,1970–1970
Relief Society Magazine,Sisterhood Helen W. Anderson,Full name,1,0,0,NA,NA,0.115,1958–1958
Relief Society Magazine,Sleeping Daline A. Buffington,Full name,1,0,0,NA,NA,0.023,1924–1924
Relief Society Magazine,Smith Donnette S. Kesler,Full name,1,0,0,NA,NA,0.028,1942–1942
Relief Society Magazine,Smith On His Birthday,Full name,1,0,0,NA,NA,0.245,1948–1948
Relief Society Magazine,Smoker Virginia B. Jacobsen,Full name,1,0,0,NA,NA,0.022,1937–1937
Relief Society Magazine,Sociology? Harold T. Christensen,Full name,1,0,0,NA,NA,0.275,1937–1937
Relief Society Magazine,Somes Henry F. Kirkham,Full name,1,0,0,NA,NA,0.087,1934–1934
Relief Society Magazine,Son Ivy W. Stone,Full name,1,0,0,NA,NA,0.023,1935–1935
Relief Society Magazine,Son Wilma B. Bunker,Full name,1,0,0,NA,NA,0.05,1954–1954
Relief Society Magazine,"Son"" Donald G. Lyman",Full name,1,0,0,NA,NA,0.04,1939–1939
Relief Society Magazine,Son? Isaac B. Ball,Full name,1,0,0,NA,NA,0.115,1936–1936
Relief Society Magazine,Song Hazel S. Washburn,Full name,1,0,0,NA,NA,0,1918–1918
Relief Society Magazine,Song Sylvia R. Grant,Full name,1,0,0,NA,NA,0.049,1935–1935
Relief Society Magazine,Song Veneta L. Nielsen,Full name,1,0,0,NA,NA,-0.019,1937–1937
Relief Society Magazine,Song Wade N. Stephens,Full name,1,0,0,NA,NA,0.042,1940–1940
Relief Society Magazine,Song) Wade N. Stephens,Full name,1,0,0,NA,NA,0.046,1940–1940
Relief Society Magazine,Sorensen Marie H. Tanner,Full name,1,0,0,NA,NA,0.126,1935–1935
Relief Society Magazine,Soul Rachel G. Taylor,Full name,1,0,0,NA,NA,0.21,1931–1931
Relief Society Magazine,Southern Hemisphere,Full name,1,0,0,NA,NA,0.029,1970–1970
Relief Society Magazine,Speaks M. Bell,Full name,1,0,0,NA,NA,0.107,1934–1934
Relief Society Magazine,Spire Eunice I. Gardner,Full name,1,0,0,NA,NA,0.027,1932–1932
Relief Society Magazine,Spiritual Values,Full name,1,0,0,NA,NA,0.101,1970–1970
Relief Society Magazine,Spring J. M. Green,Full name,1,0,0,NA,NA,0.084,1927–1927
Relief Society Magazine,Square Donna D. Sorensen,Full name,1,0,0,NA,NA,0.124,1940–1940
Relief Society Magazine,Stanley Arthur: Frontispiece,Full name,1,0,0,NA,NA,0.093,1927–1927
Relief Society Magazine,Star Courtney E. Cottam,Full name,1,0,0,NA,NA,-0.152,1946–1946
Relief Society Magazine,Stars Henry F. Kirkham,Full name,1,0,0,NA,NA,0.126,1930–1930
Relief Society Magazine,Stars Rosannah C. Irvine,Full name,1,0,0,NA,NA,-0.025,1936–1936
Relief Society Magazine,State Fair,Full name,1,0,0,NA,NA,0.058,1970–1970
Relief Society Magazine,Statehood Margaret G. Derrick,Full name,1,0,0,NA,NA,0.079,1957–1957
Relief Society Magazine,Stella Hatch,Full name,1,0,0,NA,NA,0.157,1966–1966
Relief Society Magazine,Stevens Stringam A. Stevens,Full name,1,0,0,NA,NA,0.129,1937–1937
Relief Society Magazine,Still Dotty J. Sartori,Full name,1,0,0,NA,NA,0,1945–1945
Relief Society Magazine,Stillness William A. Forsyth,Full name,1,0,0,NA,NA,-0.01,1939–1939
Relief Society Magazine,Stoddard Gwendolyn H. Resell,Full name,1,0,0,NA,NA,0.14,1945–1945
Relief Society Magazine,Stonely Yates,Full name,1,0,0,NA,NA,0.03,1969–1969
Relief Society Magazine,Storm Ellen G. Rees,Full name,1,0,0,NA,NA,-0.022,1936–1936
Relief Society Magazine,Storm Eunice J. Gardner,Full name,1,0,0,NA,NA,0.073,1936–1936
Relief Society Magazine,Storm Weston N. Nordgren,Full name,1,0,0,NA,NA,0.077,1934–1934
Relief Society Magazine,Storms? Virginia B. Jacobsen,Full name,1,0,0,NA,NA,0.034,1936–1936
Relief Society Magazine,Stowell Call,Full name,1,0,0,NA,NA,0.112,1966–1966
Relief Society Magazine,Strangers Vera L. Plant,Full name,1,0,0,NA,NA,0.082,1934–1934
Relief Society Magazine,Strategy J. S.,Full name,1,0,0,NA,NA,-0.002,1937–1937
Relief Society Magazine,Stuart Hager,Full name,1,0,0,NA,NA,0.02,1967–1967
Relief Society Magazine,Suggestions Leda T. Jensen,Full name,1,0,0,NA,NA,0.117,1937–1937
Relief Society Magazine,Summer Setting,Full name,1,0,0,NA,NA,0.04,1965–1965
Relief Society Magazine,Sun Maryhale Woolsey,Full name,1,0,0,NA,NA,0.092,1957–1957
Relief Society Magazine,Sunbonnet Jennie E. Graham,Full name,1,0,0,NA,NA,0.044,1956–1956
Relief Society Magazine,Sundays Ethel C. Butt,Full name,1,0,0,NA,NA,0,1929–1929
Relief Society Magazine,Superintendency Reorganized,Full name,1,0,0,NA,NA,0.168,1967–1967
Relief Society Magazine,Supply Fred W. Merrill,Full name,1,0,0,NA,NA,0.045,1922–1922
Relief Society Magazine,Susa B. Gudmund,Full name,1,0,0,NA,NA,0.045,1936–1936
Relief Society Magazine,Susan Coolidge,Full name,1,0,0,NA,NA,0.135,1925–1925
Relief Society Magazine,Susie E.,Full name,1,0,0,NA,NA,0.011,1921–1921
Relief Society Magazine,Sweden Ruth T. Oscarson,Full name,1,0,0,NA,NA,0.008,1958–1958
Relief Society Magazine,Swift Olive M. Nicholes,Full name,1,0,0,NA,NA,-0.014,1945–1945
Relief Society Magazine,Syerig) Drucilla H. Mcfarland,Full name,1,0,0,NA,NA,0.089,1936–1936
Relief Society Magazine,Sylvester Q. Cannon,Full name,1,0,0,NA,NA,0.087,1937–1937
Relief Society Magazine,Sylvia Lustig Bennion,Full name,1,0,0,NA,NA,0.015,1965–1965
Relief Society Magazine,Sylvia Neale,Full name,1,0,0,NA,NA,0.022,1968–1968
Relief Society Magazine,Sylvia R. Grant,Full name,1,0,0,NA,NA,0.085,1936–1936
Relief Society Magazine,Sylvia R. Stone,Full name,1,0,0,NA,NA,0.02,1958–1958
Relief Society Magazine,T. Hakes,Full name,1,0,0,NA,NA,0.078,1970–1970
Relief Society Magazine,T. Irving,Full name,1,0,0,NA,NA,0.137,1964–1964
Relief Society Magazine,T. Roberts,Full name,1,0,0,NA,NA,0.008,1966–1966
Relief Society Magazine,T. Wilkerson,Full name,1,0,0,NA,NA,0.082,1969–1969
Relief Society Magazine,Tabernacle Alveretta S. Engar,Full name,1,0,0,NA,NA,0.053,1934–1934
Relief Society Magazine,Taylor Gleave,Full name,1,0,0,NA,NA,0.023,1965–1965
Relief Society Magazine,Teacher Messages,Full name,1,0,0,NA,NA,0.151,1970–1970
Relief Society Magazine,Teaching Program,Full name,1,0,0,NA,NA,0.054,1963–1963
Relief Society Magazine,Teapot Isabelle B. Mckenzie,Full name,1,0,0,NA,NA,0.071,1936–1936
Relief Society Magazine,Technocrats H. R. Merrill,Full name,1,0,0,NA,NA,0.074,1936–1936
Relief Society Magazine,Telia Strang,Full name,1,0,0,NA,NA,0.034,1970–1970
Relief Society Magazine,Temple Dedicated,Full name,1,0,0,NA,NA,0.141,1965–1965
Relief Society Magazine,Testameni Leona W. Forsgren,Full name,1,0,0,NA,NA,0.095,1936–1936
Relief Society Magazine,Thankful Heart,Full name,1,0,0,NA,NA,0.075,1970–1970
Relief Society Magazine,The Creation,Full name,1,0,0,NA,NA,0.098,1970–1970
Relief Society Magazine,Thelma Groneman,Full name,1,0,0,NA,NA,0.006,1954–1954
Relief Society Magazine,Thelma Grube,Full name,1,0,0,NA,NA,-0.091,1963–1963
Relief Society Magazine,Thelma Hatch,Full name,1,0,0,NA,NA,0.099,1952–1952
Relief Society Magazine,Thelma J. Limd,Full name,1,0,0,NA,NA,-0.061,1964–1964
Relief Society Magazine,Thelma L. Hunsaker,Full name,1,0,0,NA,NA,0.084,1951–1951
Relief Society Magazine,Them Dott J. Sartori,Full name,1,0,0,NA,NA,0.054,1946–1946
Relief Society Magazine,Theodora Graham,Full name,1,0,0,NA,NA,0.066,1970–1970
Relief Society Magazine,Theodore Tuttle,Full name,1,0,0,NA,NA,0.012,1963–1963
Relief Society Magazine,Theron Luke,Full name,1,0,0,NA,NA,0.17,1932–1932
Relief Society Magazine,"These"" Albert R. Lyman",Full name,1,0,0,NA,NA,-0.057,1932–1932
Relief Society Magazine,"Thing"" Lais V. Hales",Full name,1,0,0,NA,NA,0.078,1932–1932
Relief Society Magazine,Things Helen W. Anderson,Full name,1,0,0,NA,NA,0.116,1957–1957
Relief Society Magazine,Thomas Cottam Romney,Full name,1,0,0,NA,NA,0.132,1943–1943
Relief Society Magazine,Thomas E. Mckay,Full name,1,0,0,NA,NA,0.056,1947–1947
Relief Society Magazine,Thomas E. Towler,Full name,1,0,0,NA,NA,0.168,1945–1945
Relief Society Magazine,Thomas Miner,Full name,1,0,0,NA,NA,0.08,1963–1963
Relief Society Magazine,Thompson Pierson,Full name,1,0,0,NA,NA,0.054,1970–1970
Relief Society Magazine,Thompson Venice F. Anderson,Full name,1,0,0,NA,NA,0.01,1923–1923
Relief Society Magazine,Thorpe B. Isaacson,Full name,1,0,0,NA,NA,0.101,1956–1956
Relief Society Magazine,Thorvaldsen Frontispiece,Full name,1,0,0,NA,NA,-0.073,1942–1942
Relief Society Magazine,Three Virginia B. Jacobsen,Full name,1,0,0,NA,NA,0.043,1935–1935
Relief Society Magazine,Thrift Coral J. Black,Full name,1,0,0,NA,NA,0.043,1922–1922
Relief Society Magazine,Throne H. R. Merrill,Full name,1,0,0,NA,NA,0.046,1937–1937
Relief Society Magazine,Tillie Pearson,Full name,1,0,0,NA,NA,0.126,1968–1968
Relief Society Magazine,Told Isaac B. Ball,Full name,1,0,0,NA,NA,0.065,1941–1941
Relief Society Magazine,Top-notchers Rae B. Barker,Full name,1,0,0,NA,NA,0.07,1939–1939
Relief Society Magazine,Topic Sarah M. Mclelland,Full name,1,0,0,NA,NA,0.097,1924–1924
Relief Society Magazine,Toronto Bowen,Full name,1,0,0,NA,NA,0.053,1970–1970
Relief Society Magazine,Toy Stoddart,Full name,1,0,0,NA,NA,0.18,1970–1970
Relief Society Magazine,Tracy Y. Cannon,Full name,1,0,0,NA,NA,0.125,1945–1945
Relief Society Magazine,Tradition Annetta B. Bennion,Full name,1,0,0,NA,NA,0.049,1934–1934
Relief Society Magazine,Train Camilla W. Judd,Full name,1,0,0,NA,NA,0.073,1936–1936
Relief Society Magazine,Training A. E. Winship,Full name,1,0,0,NA,NA,0.068,1923–1923
Relief Society Magazine,Traveler G. Gwen Kelsey,Full name,1,0,0,NA,NA,0.08,1946–1946
Relief Society Magazine,Tree Josephine B. Strange,Full name,1,0,0,NA,NA,0.032,1933–1933
Relief Society Magazine,Triumph Rae B. Barker,Full name,1,0,0,NA,NA,0.122,1941–1941
Relief Society Magazine,Truth Virginia C. Nelson,Full name,1,0,0,NA,NA,0.019,1934–1934
Relief Society Magazine,Twelve Camilla E. Kimball,Full name,1,0,0,NA,NA,0.065,1947–1947
Relief Society Magazine,Twelve Dale T. Tingey,Full name,1,0,0,NA,NA,0.085,1961–1961
Relief Society Magazine,Udall Levi S. Udall,Full name,1,0,0,NA,NA,0.095,1930–1930
Relief Society Magazine,Understanding Harriet P. Johnson,Full name,1,0,0,NA,NA,0.064,1942–1942
Relief Society Magazine,Up With,Full name,1,0,0,NA,NA,0.121,1970–1970
Relief Society Magazine,Useful Aslaug S. Vaieland,Full name,1,0,0,NA,NA,0.11,1960–1960
Relief Society Magazine,Utah Volume,Full name,1,0,0,NA,NA,0.171,1967–1967
Relief Society Magazine,Valentine Grace C. Jacobsen,Full name,1,0,0,NA,NA,0.049,1937–1937
Relief Society Magazine,Valeria H. Parker,Full name,1,0,0,NA,NA,0.073,1927–1927
Relief Society Magazine,Van Epps,Full name,1,0,0,NA,NA,0.015,1970–1970
Relief Society Magazine,Vance Madeleine P. Stevens,Full name,1,0,0,NA,NA,0.207,1948–1948
Relief Society Magazine,Vanta Quintero,Full name,1,0,0,NA,NA,0.012,1965–1965
Relief Society Magazine,Varied Artistry,Full name,1,0,0,NA,NA,0.147,1966–1966
Relief Society Magazine,Vaunee T. Larson,Full name,1,0,0,NA,NA,0.098,1941–1941
Relief Society Magazine,Veda G. Linford,Full name,1,0,0,NA,NA,0,1964–1964
Relief Society Magazine,Velma D. Cloward,Full name,1,0,0,NA,NA,0.048,1953–1953
Relief Society Magazine,Velma Mackay Paul,Full name,1,0,0,NA,NA,0.051,1954–1954
Relief Society Magazine,Venda Castleberry,Full name,1,0,0,NA,NA,0.029,1966–1966
Relief Society Magazine,Vera C. Stratford,Full name,1,0,0,NA,NA,0.059,1960–1960
Relief Society Magazine,Vera P. Wahlquist,Full name,1,0,0,NA,NA,0.069,1931–1931
Relief Society Magazine,Vera P. Walquist,Full name,1,0,0,NA,NA,0.07,1931–1931
Relief Society Magazine,Vera Stocker,Full name,1,0,0,NA,NA,0.056,1964–1964
Relief Society Magazine,Verda Mae Fuller,Full name,1,0,0,NA,NA,0.071,1949–1949
Relief Society Magazine,Verda P. Bouschweiler,Full name,1,0,0,NA,NA,0.014,1964–1964
Relief Society Magazine,Verla R. Hull,Full name,1,0,0,NA,NA,0.028,1956–1956
Relief Society Magazine,Vernald William Johns,Full name,1,0,0,NA,NA,0.198,1932–1932
Relief Society Magazine,Vernessa Miller Nagle,Full name,1,0,0,NA,NA,0.109,1935–1935
Relief Society Magazine,Veronica Blagrove,Full name,1,0,0,NA,NA,0.059,1966–1966
Relief Society Magazine,Vesta N. Fairboirn,Full name,1,0,0,NA,NA,0.019,1963–1963
Relief Society Magazine,Victoria B. Christenson,Full name,1,0,0,NA,NA,0.024,1920–1920
